algoritmo,capacidade_memoria,threads,cores,threads_usados,qtd_sequencias,total_sequencias,size_arquivos,media_tamanho_sequencias,formato_arvore,tempo_execucao
clustalw,134743695360,24,16,6,50,1900,1714357,761.8524000000001,newick,80.27245383302215
clustalw,134743695360,24,16,6,11,418,417042,852.9518181818181,nexus,30.30653215997154
clustalw,134743695360,24,16,5,50,1900,1791203,802.2080000000001,newick,129.11973141197814
clustalw,134743781376,24,16,1,28,1064,1050378,845.0124999999999,newick,165.82038424200437
clustalw,134743781376,24,16,21,78,2964,2749219,786.0833333333334,nexus,56.98665307399642
clustalw,134743781376,24,16,2,65,2470,2351325,808.6350769230769,newick,304.5036184970086
clustalw,134743781376,24,16,24,2,76,62380,677.62,nexus,5.209656109000207
clustalw,134743781376,24,16,24,28,1064,969826,767.3621428571429,newick,17.661146415004623
clustalw,134743781376,24,16,23,33,1254,1160053,784.6939393939394,newick,31.797663350007497
clustalw,134743781376,24,16,23,100,3800,3617651,808.1196000000001,nexus,75.99691088900727
clustalw,134743781376,24,16,21,19,722,634464,739.2973684210526,newick,48.766371600999264
clustalw,134743781376,24,16,9,56,2128,1917864,758.7682142857142,newick,133.26833539399377
clustalw,134743781376,24,16,24,86,3268,3124223,813.2243023255813,newick,61.99581309501082
clustalw,134743781376,24,16,23,68,2584,2490216,821.1760294117647,nexus,50.50989699800266
clustalw,134743781376,24,16,21,76,2888,2713104,797.6853947368421,nexus,57.27780691703083
clustalw,134743781376,24,16,20,4,152,167866,956.9075,newick,61.909181877970695
clustalw,134743781376,24,16,6,6,228,218878,820.8633333333333,newick,13.46115083800396
clustalw,134743781376,24,16,8,33,1254,1119461,751.6381818181818,nexus,34.89696915994864
clustalw,134743781376,24,16,24,56,2128,2026650,810.6092857142858,nexus,39.57947872305522
clustalw,134743781376,24,16,8,31,1178,1140134,825.1819354838709,nexus,31.39541094697779
clustalw,134743781376,24,16,24,27,1026,1013266,845.8944444444445,newick,23.909970474021975
clustalw,134743781376,24,16,24,1,38,45078,1046.76,newick,8.883229013008531
clustalw,134743781376,24,16,24,26,988,889793,760.6642307692308,nexus,21.051522892026696
clustalw,134743781376,24,16,24,12,456,486647,921.915,nexus,15.26911244704388
clustalw,134743781376,24,16,23,52,1976,1938313,836.8198076923077,newick,38.5957129879971
clustalw,134743781376,24,16,23,97,3686,3443971,794.0315463917525,newick,67.92977326002438
clustalw,134743781376,24,16,23,88,3344,3205723,815.8839772727272,nexus,65.28569918702124
clustalw,134743781376,24,16,21,61,2318,2130620,779.4439344262296,newick,43.451670166046824
clustalw,134743781376,24,16,21,12,456,414005,765.9250000000001,nexus,13.51368855999317
clustalw,134743781376,24,16,21,9,342,360290,910.7088888888889,nexus,16.212872717005666
clustalw,134743781376,24,16,21,100,3800,3794172,854.9732,newick,82.52344830299262
clustalw,134743781376,24,16,21,46,1748,1631904,789.4680434782608,newick,34.281909051002
clustalw,134743781376,24,16,21,92,3496,3298698,801.875,newick,70.01735862903297
clustalw,134743781376,24,16,21,32,1216,1167513,818.92625,nexus,25.270812884962652
clustalw,134743781376,24,16,21,28,1064,978272,778.2746428571428,nexus,20.397694273036905
clustalw,134743781376,24,16,21,100,3800,3635314,814.6418000000001,newick,75.17505289503606
clustalw,134743781376,24,16,20,7,266,265562,852.7871428571428,nexus,11.547780319000594
clustalw,134743781376,24,16,20,52,1976,1864444,801.2619230769232,newick,43.10336718399776
clustalw,134743781376,24,16,19,100,3800,3668050,822.1416,nexus,87.40441517299041
clustalw,134743781376,24,16,19,100,3800,3607437,807.2836,nexus,90.63174380996497
clustalw,134743781376,24,16,19,100,3800,3660322,820.9364,newick,94.06152947404189
clustalw,134743781376,24,16,17,49,1862,1676324,759.138163265306,newick,49.62214039399987
clustalw,134743781376,24,16,17,100,3800,3505734,781.0977,nexus,106.54687808698509
clustalw,134743781376,24,16,17,100,3800,3606070,807.1572,nexus,115.42511894000927
clustalw,134743781376,24,16,17,11,418,403026,823.5618181818182,nexus,24.928385271981824
clustalw,134743781376,24,16,16,4,152,153484,868.06,nexus,15.774773744982667
clustalw,134743781376,24,16,16,54,2052,1902077,784.2453703703703,nexus,53.08841153600952
clustalw,134743781376,24,16,16,18,684,686465,863.125,nexus,25.984209307993297
clustalw,134743781376,24,16,15,58,2204,2023604,776.3387931034483,nexus,55.95769896398997
clustalw,134743781376,24,16,15,15,570,541671,804.7013333333333,nexus,18.826817581953947
clustalw,134743781376,24,16,15,100,3800,3596675,804.6407,nexus,100.26811460696626
clustalw,134743781376,24,16,15,99,3762,3751676,853.5468686868687,nexus,107.42024376196787
clustalw,134743781376,24,16,15,81,3078,2909988,802.9296296296296,nexus,84.70637082599569
clustalw,134743781376,24,16,15,100,3800,3609233,808.2565,newick,97.4600516280043
clustalw,134743781376,24,16,4,4,152,141601,791.2825,newick,18.683528135996312
clustalw,134743781376,24,16,14,19,722,674078,793.6647368421052,nexus,25.691786827053875
clustalw,134743781376,24,16,14,61,2318,2227068,818.6467213114754,nexus,74.36360753909685
clustalw,134743781376,24,16,14,100,3800,3667673,822.6605000000001,nexus,124.98862502200063
clustalw,134743781376,24,16,14,59,2242,2146138,813.9,newick,68.06968447589315
clustalw,134743781376,24,16,13,36,1368,1343619,837.9438888888889,newick,47.20799182599876
clustalw,134743781376,24,16,5,11,418,426446,871.9881818181819,newick,41.73519166605547
clustalw,134743781376,24,16,13,8,304,295958,833.07875,newick,16.893551795976236
clustalw,134743781376,24,16,13,33,1254,1129457,761.2824242424242,newick,36.099083794048056
clustalw,134743781376,24,16,13,9,342,332640,831.3977777777777,nexus,16.74754799704533
clustalw,134743781376,24,16,13,100,3800,3502321,781.34,newick,93.52796391199809
clustalw,134743781376,24,16,12,100,3800,3628210,811.9172,newick,136.22292184690014
clustalw,134743781376,24,16,12,26,988,956385,826.9853846153845,newick,40.239065777976066
clustalw,134743781376,24,16,11,100,3800,3675260,824.0189999999999,newick,151.94355652399827
clustalw,134743781376,24,16,4,28,1064,1056688,851.8932142857142,nexus,102.0064759219531
clustalw,134743613440,24,16,11,50,1900,1844657,827.6174000000001,nexus,43.23434319102671
clustalw,134743613440,24,16,23,10,380,385451,869.564,newick,13.95903215702856
clustalw,134743613440,24,16,1,20,760,712367,793.6255,nexus,188.07759872503811
clustalw,134743613440,24,16,23,50,1900,1796240,804.258,newick,35.19139944604831
clustalw,134743613440,24,16,22,26,988,906483,777.2934615384615,newick,18.56338244001381
clustalw,134743613440,24,16,21,26,988,960612,830.4265384615385,nexus,22.342861472978257
clustalw,134743613440,24,16,5,50,1900,1928314,871.6089999999999,newick,116.79842846101383
clustalw,134743613440,24,16,12,50,1900,1789524,799.3598,newick,51.678271990967914
clustalw,134743613440,24,16,11,7,266,241617,771.2985714285714,nexus,15.924675129004754
clustalw,134743613440,24,16,11,50,1900,1898138,857.5776,newick,79.34676599001978
clustalw,134743613440,24,16,11,50,1900,1863558,837.9822,nexus,81.31479594804114
clustalw,134743613440,24,16,11,50,1900,1708761,756.5956,nexus,66.4459601129638
clustalw,134743613440,24,16,22,50,1900,1832766,822.4939999999999,nexus,38.306181027001
clustalw,134743613440,24,16,17,46,1748,1620525,784.7349999999999,nexus,37.00234565199935
clustalw,134743613440,24,16,16,24,912,933273,879.0541666666667,newick,29.122873280008207
clustalw,134743613440,24,16,16,50,1900,1789864,800.3006,nexus,49.10724566499994
clustalw,134743613440,24,16,16,23,874,814768,791.4230434782609,nexus,22.514992703989265
clustalw,134743613440,24,16,11,30,1140,1109076,830.7006666666667,newick,34.61791795799218
clustalw,134743613440,24,16,7,22,836,813541,831.8036363636364,nexus,55.1636878040008
clustalw,134743613440,24,16,7,18,684,619021,766.5038888888889,nexus,35.55767643499712
clustalw,134743613440,24,16,7,46,1748,1705210,834.6206521739131,newick,104.29204725500313
clustalw,33185779712,16,8,1,30,1140,1064924,793.0963333333333,newick,408.1989075730089
clustalw,67422388224,24,12,9,50,1900,1856113,834.335,newick,373.2926537571475
clustalw,67422388224,24,12,15,50,1900,1856113,834.335,newick,373.4013220812194
clustalw,67422380032,24,12,15,50,1900,1856113,834.335,newick,323.4030315228738
clustalw,67422388224,24,12,14,24,912,962737,910.3325,nexus,270.83286583796144
clustalw,67422388224,24,12,10,24,912,962737,910.3325,nexus,275.5700866749976
clustalw,67422392320,24,12,14,50,1900,1794935,802.4602,nexus,342.5011225438211
clustalw,67422388224,24,12,14,50,1900,1794935,802.4602,nexus,350.7327351330314
clustalw,67422392320,24,12,10,50,1900,1794935,802.4602,nexus,349.73815508792177
clustalw,67422392320,24,12,14,39,1482,1432543,822.3484615384615,nexus,356.0750522699673
clustalw,67422380032,24,12,2,24,912,962737,910.3325,nexus,406.44686567410827
clustalw,67422392320,24,12,7,50,1900,1723025,765.8933999999999,nexus,308.7952832598239
clustalw,67422392320,24,12,2,39,1482,1432543,822.3484615384615,nexus,641.1428975369781
clustalw,67422392320,24,12,13,39,1482,1412408,812.4561538461538,nexus,219.04947578790598
clustalw,67422388224,24,12,12,32,1216,1117913,777.360625,nexus,229.820137985982
clustalw,67422388224,24,12,10,50,1900,1810698,810.7994,newick,309.4823955921456
clustalw,67422380032,24,12,1,50,1900,1856113,834.335,newick,1319.1738285778556
clustalw,67422392320,24,12,12,24,912,860807,802.80875,newick,144.42496178508736
clustalw,67422392320,24,12,1,50,1900,1856113,834.335,newick,1559.2015598709695
clustalw,67422380032,24,12,11,50,1900,1794895,802.7228,newick,284.4807006639894
clustalw,67422392320,24,12,12,50,1900,1780647,795.4522000000001,nexus,334.47383229993284
clustalw,67422392320,24,12,9,50,1900,1794895,802.7228,newick,293.86746355192736
clustalw,67422388224,24,12,2,50,1900,1810698,810.7994,newick,702.3385465361644
clustalw,67422388224,24,12,10,46,1748,1694404,825.6339130434783,newick,280.6824526481796
clustalw,67422380032,24,12,4,50,1900,1780647,795.4522000000001,nexus,462.51588144898415
clustalw,67422388224,24,12,10,46,1748,1694404,825.6339130434783,newick,253.69814726593904
clustalw,67422392320,24,12,3,27,1026,981225,814.1370370370371,nexus,209.96053413907066
clustalw,67422392320,24,12,14,42,1596,1489066,790.8938095238095,newick,236.97381263412535
clustalw,67422380032,24,12,14,50,1900,1749782,780.262,newick,238.29222636995837
clustalw,67422388224,24,12,14,50,1900,1749782,780.262,newick,263.65223737899214
clustalw,67422388224,24,12,10,50,1900,1749782,780.262,newick,339.7117301290855
clustalw,67422380032,24,12,3,50,1900,1749782,780.262,newick,450.9162839720957
clustalw,67422392320,24,12,13,13,494,462425,793.5892307692308,newick,82.4695296259597
clustalw,67422380032,24,12,13,13,494,462425,793.5892307692308,newick,92.64654767792672
clustalw,67422392320,24,12,13,50,1900,1786368,799.4626,nexus,255.11812434787862
clustalw,67422392320,24,12,11,50,1900,1786368,799.4626,nexus,260.6379213510081
clustalw,67422388224,24,12,13,41,1558,1537360,843.9468292682927,nexus,193.90205033798702
clustalw,67422392320,24,12,1,13,494,462425,793.5892307692308,newick,282.8818808880169
clustalw,67422380032,24,12,1,13,494,462425,793.5892307692308,newick,286.1224199309945
clustalw,67422392320,24,12,11,22,836,805461,819.4236363636363,newick,169.30808335007168
clustalw,67422388224,24,12,12,50,1900,1765845,786.7934,nexus,281.0599120021798
clustalw,67422388224,24,12,10,50,1900,1765845,786.7934,nexus,282.92108560120687
clustalw,67422392320,24,12,7,22,836,805461,819.4236363636363,newick,172.99697431595996
clustalw,67422392320,24,12,12,50,1900,1765845,786.7934,nexus,259.2203346111346
clustalw,67422388224,24,12,1,50,1900,1749782,780.262,newick,1077.9047240440268
clustalw,67422392320,24,12,7,19,722,687457,812.2794736842105,newick,130.51406644005328
clustalw,67422392320,24,12,7,14,532,539952,873.8964285714286,newick,159.15213994914666
clustalw,67422380032,24,12,6,14,532,539952,873.8964285714286,newick,160.20360794197768
clustalw,67422388224,24,12,7,19,722,687457,812.2794736842105,newick,199.84971069102176
clustalw,67422388224,24,12,6,19,722,687457,812.2794736842105,newick,201.0805381310638
clustalw,67422388224,24,12,3,14,532,539952,873.8964285714286,newick,247.93838746193796
clustalw,67422392320,24,12,4,14,532,539952,873.8964285714286,newick,195.73735055001453
clustalw,67422388224,24,12,2,14,532,539952,873.8964285714286,newick,242.75762608018704
clustalw,67422380032,24,12,4,50,1900,1821113,817.0028,newick,425.4440807979554
clustalw,67422392320,24,12,6,24,912,837675,776.6979166666666,newick,162.7317812971305
clustalw,67422392320,24,12,6,24,912,837675,776.6979166666666,newick,160.59203757112846
clustalw,67422380032,24,12,6,24,912,837675,776.6979166666666,newick,160.61494601285085
clustalw,67422388224,24,12,1,41,1558,1537360,843.9468292682927,nexus,1085.5399855950382
clustalw,67422388224,24,12,1,50,1900,1786368,799.4626,nexus,1235.089078168152
clustalw,67422392320,24,12,1,50,1900,1765845,786.7934,nexus,991.0500718909316
clustalw,67422392320,24,12,22,50,1900,1777683,794.789,nexus,171.47258132090792
clustalw,67422392320,24,12,22,10,380,354740,791.833,newick,153.18032436305657
clustalw,67422392320,24,12,2,50,1900,1777683,794.789,nexus,1706.3308816910721
clustalw,67422392320,24,12,20,50,1900,1773015,791.9091999999999,newick,194.81776219699532
clustalw,67422388224,24,12,20,50,1900,1773015,791.9091999999999,newick,199.62747319601476
clustalw,67422388224,24,12,4,37,1406,1274801,764.6343243243243,newick,242.7686493769288
clustalw,67422388224,24,12,3,50,1900,1822134,816.1946,newick,508.4069725498557
clustalw,67422392320,24,12,19,50,1900,1774413,790.9376,newick,231.03732519922778
clustalw,67422392320,24,12,18,50,1900,1836393,824.995,nexus,222.95017560198903
clustalw,67422392320,24,12,18,49,1862,1725490,784.5791836734693,newick,203.60666585620493
clustalw,67422392320,24,12,18,50,1900,1846777,828.1311999999999,nexus,232.33542478317395
clustalw,67422392320,24,12,18,18,684,646704,803.5594444444445,newick,90.67980354931206
clustalw,67422392320,24,12,18,5,190,167499,740.052,newick,37.093168176710606
clustalw,67422392320,24,12,16,50,1900,1822412,817.0424,nexus,202.67133199283853
clustalw,67422392320,24,12,16,46,1748,1619923,786.1047826086957,newick,183.27650464093313
clustalw,67422392320,24,12,8,50,1900,1824136,816.5164,nexus,332.8808009349741
clustalw,67422388224,24,12,15,4,152,149776,846.8675000000001,nexus,40.651276289951056
clustalw,67422380032,24,12,15,50,1900,1835263,823.4608000000001,nexus,248.46766039915383
clustalw,67422380032,24,12,15,1,38,29865,645.0,nexus,19.807256007101387
clustalw,67422380032,24,12,15,13,494,499933,870.1369230769232,newick,120.49923994997516
clustalw,67422380032,24,12,15,50,1900,1827176,821.2036,newick,238.8456749538891
clustalw,67422380032,24,12,14,50,1900,1886028,851.2032,nexus,267.4081844110042
clustalw,67422380032,24,12,14,29,1102,1007975,772.1096551724138,nexus,158.09106448292732
clustalw,67422380032,24,12,14,29,1102,960930,732.068275862069,nexus,130.31523589231074
clustalw,67422380032,24,12,14,24,912,863519,806.9358333333333,nexus,117.42535973526537
clustalw,67422380032,24,12,14,50,1900,1816821,815.4582,nexus,218.9905796307139
clustalw,67422380032,24,12,14,7,266,251608,804.1428571428571,nexus,55.427239570301026
clustalw,67422388224,24,12,13,31,1178,1105853,796.7587096774193,nexus,161.95375336613506
clustalw,67422388224,24,12,8,31,1178,1105853,796.7587096774193,nexus,175.4934968180023
clustalw,67422392320,24,12,13,18,684,645668,801.7005555555556,nexus,132.7931487611495
clustalw,67422392320,24,12,13,50,1900,1800603,805.2539999999999,nexus,231.54706773208454
clustalw,67422392320,24,12,13,50,1900,1758297,784.8836,newick,209.9535992932506
clustalw,67422380032,24,12,6,50,1900,1767733,788.573,newick,356.1052550347522
clustalw,67422380032,24,12,13,50,1900,1704811,756.1417999999999,newick,329.1711649168283
clustalw,67422380032,24,12,13,50,1900,1855838,833.295,nexus,389.87721752002835
clustalw,67422380032,24,12,6,50,1900,1867502,840.7497999999999,nexus,507.98275537090376
clustalw,67422388224,24,12,12,5,190,186403,833.51,newick,39.53744461480528
clustalw,67422392320,24,12,11,50,1900,1859436,837.1566,nexus,202.7713259961456
clustalw,67422392320,24,12,10,50,1900,1827495,820.7536,nexus,262.0187476291321
clustalw,67422392320,24,12,10,41,1558,1487905,813.06,newick,192.9402462481521
clustalw,67422392320,24,12,9,50,1900,1864275,837.7067999999999,nexus,273.2139005176723
clustalw,67422392320,24,12,9,50,1900,1863006,837.9241999999999,nexus,311.3677119547501
