algoritmo,capacidade_memoria,threads,cores,threads_usados,qtd_sequencias,total_sequencias,size_arquivos,media_tamanho_sequencias,formato_arvore,tempo_execucao
clustalw,134743613440,24,16,7,22,836,734216,739.2936363636363,newick,44.99557764799829
clustalw,134743613440,24,16,7,5,190,168947,749.368,nexus,14.755238672994892
clustalw,134743613440,24,16,6,4,152,159764,907.645,nexus,15.684568308002781
clustalw,134743613440,24,16,7,19,722,684654,807.3568421052632,nexus,6398.025871457998
clustalw,134743613440,24,16,24,43,1634,1529549,793.1488372093023,newick,34.967506613000296
clustalw,134743613440,24,16,24,52,1976,1852699,794.8542307692308,nexus,45.669274009007495
clustalw,134743613440,24,16,24,56,2128,1942242,771.40125,nexus,46.49849792999157
clustalw,134743613440,24,16,24,100,3800,3643688,817.2053999999999,nexus,88.1131950699928
clustalw,134743613440,24,16,23,100,3800,3618824,810.788,newick,74.54947229099344
clustalw,134743613440,24,16,23,4,152,127056,697.7775,nexus,7.133827084006043
clustalw,134743613440,24,16,22,32,1216,1169914,818.3540625,nexus,28.038767670019297
clustalw,134743613440,24,16,21,9,342,322140,801.2222222222222,newick,12.172014621988637
clustalw,134743613440,24,16,21,8,304,325284,928.36,newick,16.56652082299115
clustalw,134743613440,24,16,21,42,1596,1504568,801.3590476190477,nexus,41.71193221400608
clustalw,134743613440,24,16,21,39,1482,1470833,850.2607692307691,nexus,36.257599778007716
clustalw,134743613440,24,16,20,68,2584,2430599,797.9636764705882,newick,59.50913249299629
clustalw,134743613440,24,16,20,11,418,391415,791.7763636363637,nexus,13.259207497991156
clustalw,134743613440,24,16,20,58,2204,2107301,813.9918965517242,newick,52.09351105900714
clustalw,134743613440,24,16,20,2,76,63918,693.975,newick,7.333035501011182
clustalw,134743613440,24,16,20,44,1672,1627961,830.8713636363638,nexus,40.33564072000445
clustalw,134743613440,24,16,20,33,1254,1170405,791.0933333333334,nexus,27.5544525180012
clustalw,134743613440,24,16,19,100,3800,3621506,810.2197,nexus,94.65319593800814
